t_s,target_deg_s,angle_deg,velocity_deg_s,armed,fault,diag_raw
0.018791,0.0,0.004,0.169,False,None,FB0000021D000000
0.070965,0.0,0.004,0.169,False,None,FB0000021D000000
0.123015,0.0,0.004,0.169,False,None,FB0000021D000000
0.175431,0.0,0.004,0.169,False,None,FB0000021D000000
0.227739,0.0,0.004,0.169,False,None,FB0000021D000000
0.279776,0.0,0.004,0.169,False,None,FB0000021D000000
0.332307,0.0,0.004,0.169,False,None,FB0000021D000000
0.384379,0.0,0.004,0.169,False,None,FB0000021D000000
0.436829,0.0,0.004,0.169,False,None,FB0000021D000000
0.489237,0.0,0.004,0.169,False,None,FB0000021D000000
0.541401,0.0,0.004,0.169,False,None,FB0000021D000000
0.593627,0.0,0.004,0.169,False,None,FB0000021D000000
0.646757,0.0,0.004,0.169,False,None,FB0000021D000000
0.698884,0.0,0.004,0.169,False,None,FB0000021D000000
0.752837,10.0,0.004,0.169,False,None,FB0000021D000000
0.805146,10.0,0.004,0.169,False,None,FB0000021D000000
0.857040,10.0,0.004,0.169,False,None,FB0000021D000000
0.909378,10.0,0.004,0.169,False,None,FB0000021D000000
0.961376,10.0,0.004,0.169,False,None,FB0000021D000000
1.013313,10.0,0.004,0.169,False,None,FB0000021D000000
1.066285,10.0,0.004,0.169,False,None,FB0000021D000000
1.118434,10.0,0.038,0.761,True,None,FB0000021D000002
1.171152,10.0,0.106,1.352,True,None,FB0000021D000002
1.224027,10.0,0.165,1.183,True,None,FB0000021D000002
1.277016,10.0,0.241,1.5210000000000001,True,None,FB0000021D000002
1.330867,10.0,0.334,1.859,True,None,FB0000021D000002
1.383617,10.0,0.439,2.113,True,None,FB0000021D000002
1.437473,10.0,0.592,3.0420000000000003,True,None,FB0000021D000002
1.491292,10.0,0.727,2.704,True,None,FB0000021D000002
1.543994,10.0,0.883,3.1270000000000002,True,None,FB0000021D000002
1.597949,10.0,1.069,3.718,True,None,FB0000021D000002
1.651262,10.0,1.297,4.564,True,None,FB0000021D000002
1.704988,10.0,1.5130000000000001,4.3100000000000005,True,None,FB0000021D000002
1.758446,10.0,1.749,4.732,True,None,FB0000021D000002
1.810828,10.0,1.969,4.3950000000000005,True,None,FB0000021D000002
1.864447,10.0,2.193,4.479,True,None,FB0000021D000002
1.917808,10.0,2.4090000000000003,4.3100000000000005,True,None,FB0000021D000002
1.971079,10.0,2.814,3.803,True,None,FB0000021D000002
2.024086,10.0,2.996,3.634,True,None,FB0000021D000002
2.078411,10.0,3.186,3.803,True,None,FB0000021D000002
2.131305,10.0,3.355,3.38,True,None,FB0000021D000002
2.183422,10.0,3.507,3.0420000000000003,True,None,FB0000021D000002
2.237169,10.0,3.6590000000000003,3.0420000000000003,True,None,FB0000021D000002
2.290121,10.0,3.782,2.451,True,None,FB0000021D000002
2.343622,10.0,3.862,1.606,True,None,FB0000021D000002
2.396813,10.0,3.951,1.7750000000000001,True,None,FB0000021D000002
2.448902,10.0,3.989,0.761,True,None,FB0000021D000002
2.502715,10.0,4.023,0.676,True,None,FB0000021D000002
2.555693,10.0,4.048,0.507,True,None,FB0000021D000002
2.609508,10.0,4.073,0.507,True,None,FB0000021D000002
2.662634,10.0,4.095,0.423,True,None,FB0000021D000002
2.717125,0.0,4.116,0.423,True,None,FB0000021D000002
2.769117,0.0,4.124,-0.169,True,None,FB0000021D000002
2.821317,0.0,4.111,-0.254,True,None,FB0000021D000002
2.873591,0.0,4.099,-0.254,True,None,FB0000021D000002
2.926094,0.0,4.099,0.0,True,None,FB0000021D000002
2.980027,0.0,4.107,0.169,True,None,FB0000021D000002
3.032953,0.0,4.099,-0.169,True,None,FB0000021D000002
3.086304,0.0,4.103,0.084,True,None,FB0000021D000002
3.139796,0.0,4.095,-0.169,True,None,FB0000021D000002
3.192498,0.0,4.095,0.0,True,None,FB0000021D000002
3.246030,0.0,4.103,0.169,True,None,FB0000021D000002
3.298515,0.0,4.099,-0.084,True,None,FB0000021D000002
3.351182,0.0,4.107,0.169,True,None,FB0000021D000002
3.403870,0.0,4.099,-0.169,True,None,FB0000021D000002
3.456302,0.0,4.099,0.0,True,None,FB0000021D000002
3.511915,-10.0,4.095,-0.084,True,None,FB0000021D000002
3.564975,-10.0,4.103,0.169,True,None,FB0000021D000002
3.617220,-10.0,4.061,-0.845,True,None,FB0000021D000002
3.669903,-10.0,3.9210000000000003,-1.5210000000000001,True,None,FB0000021D000002
3.723099,-10.0,3.858,-1.268,True,None,FB0000021D000002
3.777532,-10.0,3.811,-0.93,True,None,FB0000021D000002
3.830492,-10.0,3.748,-1.268,True,None,FB0000021D000002
3.884072,-10.0,3.672,-1.5210000000000001,True,None,FB0000021D000002
3.936738,-10.0,3.617,-1.099,True,None,FB0000021D000002
3.988988,-10.0,3.537,-1.606,True,None,FB0000021D000002
4.042115,-10.0,3.435,-2.028,True,None,FB0000021D000002
4.096144,-10.0,3.3000000000000003,-2.704,True,None,FB0000021D000002
4.150387,-10.0,3.182,-2.366,True,None,FB0000021D000002
4.203485,-10.0,3.025,-3.1270000000000002,True,None,FB0000021D000002
4.255957,-10.0,2.865,-3.211,True,None,FB0000021D000002
