t_s,target_deg_s,velocity_deg_s,diag
0.05019402200196055,0,,
0.10056869400068535,0,-0.084,FB0000021D000000
0.15075758600141853,0,0.0,FB0000021D000000
0.5014035310014151,0,0.169,FB0000021D000000
0.5518140269996366,0,0.338,FB0000021D000000
0.6020759179991728,0,-0.085,FB0000021D000000
0.6523398989993439,0,0.169,FB0000021D000000
0.7025573210012226,0,-0.254,FB0000021D000000
0.7528491520024545,0,0.169,FB0000021D000000
0.8031067619995156,0,0.084,FB0000021D000000
0.8533620109992626,0,-0.084,FB0000021D000000
0.9035876950001693,0,0.084,FB0000021D000000
0.9538478800022858,0,0.084,FB0000021D000000
1.0040709280001465,0,-0.169,FB0000021D000000
1.0543211730000621,0,0.084,FB0000021D000000
1.104613422001421,0,-0.254,FB0000021D000000
1.1549518840001838,0,0.084,FB0000021D000000
1.2052298210001027,0,0.338,FB0000021D000000
1.2554889080020075,0,-0.338,FB0000021D000000
1.3057862630012096,120,-0.084,FB0000021D000000
2.3607599130009476,120,0.423,FB0000021D000002
2.4110555190018204,120,-0.008,FB0000021D000002
2.461288438000338,120,0.084,FB0000021D000002
2.5115343580000626,0,1.437,FB0000021D000002
2.561745463000989,0,3.296,FB0000021D000002
2.6119488130025275,0,5.916,FB0000021D000002
2.66215781199935,0,3.887,FB0000021D000002
2.712379331002012,0,0.761,FB0000021D000002
2.7627205989992945,0,-0.845,FB0000021D000002
2.812983339001221,0,-0.169,FB0000021D000002
2.8632619750023878,0,0.0,FB0000021D000002
2.91362139299963,0,0.0,FB0000021D000002
2.96393069899932,0,-0.084,FB0000021D000002
3.0143095800012816,0,-0.085,FB0000021D000002
3.0645612869993784,0,0.0,FB0000021D000002
3.1148166160019173,0,-0.084,FB0000021D000002
3.1650636779995693,0,-0.085,FB0000021D000002
3.215327909001644,0,-0.084,FB0000021D000002
3.265548175000731,0,0.169,FB0000021D000002
3.3158107929994003,0,-0.169,FB0000021D000002
3.366059045001748,0,0.084,FB0000021D000002
3.416342625001562,0,-0.084,FB0000021D000002
3.4665867299991078,0,0.169,FB0000021D000002
3.516869265000423,0,0.169,FB0000021D000002
3.5672017300021253,0,0.0,FB0000021D000002
3.6175397180013533,0,-0.338,FB0000021D000002
3.6677836010021565,0,0.0,FB0000021D000002
3.7179868140010512,0,0.169,FB0000021D000002
3.768170024999563,0,-0.254,FB0000021D000002
3.818470542999421,0,0.085,FB0000021D000002
3.8687695000007807,0,0.338,FB0000021D000002
3.919122731000243,0,-0.085,FB0000021D000002
3.9694198190009047,0,-0.254,FB0000021D000002
4.0195879800012335,0,0.0,FB0000021D000002
4.0697754499997245,0,0.254,FB0000021D000002
4.12012176600183,0,-0.254,FB0000021D000002
4.17029394400015,0,-0.085,FB0000021D000002
4.220539821002603,0,0.085,FB0000021D000002
4.270713201000035,0,0.084,FB0000021D000002
4.320957151001494,0,0.0,FB0000021D000002
4.371130609000829,0,0.085,FB0000021D000002
4.421268603000499,0,-0.169,FB0000021D000002
4.47145357699992,0,0.084,FB0000021D000002
4.5216612850017555,-120,-0.169,FB0000021D000002
4.571917006000149,-120,0.0,FB0000021D000002
4.622146354002325,-120,-0.507,FB0000021D000002
4.672315864001575,-120,-3.042,FB0000021D000002
4.722416594999231,-120,-4.733,FB0000021D000002
4.772548807999556,-120,-4.817,FB0000021D000002
4.822724993999145,-120,-2.789,FB0000021D000002
4.872896663000574,-120,-1.437,FB0000021D000002
4.923084542999277,-120,-0.676,FB0000021D000002
4.973275299002125,-120,0.169,FB0000021D000002
5.023431334000634,-120,-0.592,FB0000021D000002
5.073594964000222,-120,0.0,FB0000021D000002
5.123765491000086,-120,-0.254,FB0000021D000002
5.1739355720019375,-120,-0.085,FB0000021D000002
5.224071964999894,-120,-0.084,FB0000021D000002
5.274242384999525,-120,0.084,FB0000021D000002
5.324432171000808,-120,0.085,FB0000021D000002
5.374642442002369,-120,0.0,FB0000021D000002
5.424791643999924,-120,-0.338,FB0000021D000002
5.474989171001653,-120,0.0,FB0000021D000002
