t_s,target_deg_s,angle_deg,velocity_deg_s,armed,fault,diag_raw
0.019672,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.072780,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.125802,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.179172,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.232304,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.285601,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.338539,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.391576,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.444227,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.497342,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.550211,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.603436,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.656593,0.0,-0.008,-0.084,False,None,FB0000021D000000
0.712090,10.0,-0.008,-0.084,False,None,FB0000021D000000
0.764421,10.0,-0.008,-0.084,False,None,FB0000021D000000
0.817496,10.0,-0.008,-0.084,False,None,FB0000021D000000
0.870399,10.0,-0.008,-0.084,False,None,FB0000021D000000
0.923867,10.0,-0.008,-0.084,False,None,FB0000021D000000
0.976989,10.0,-0.008,-0.084,False,None,FB0000021D000000
1.030487,10.0,-0.008,-0.084,False,None,FB0000021D000000
1.083638,10.0,-0.004,0.004,True,None,FB0000021D000002
1.134621,10.0,0.165,3.38,True,None,FB0000021D000002
1.187133,10.0,0.541,7.521,True,None,FB0000021D000002
1.240723,10.0,0.917,7.521,True,None,FB0000021D000002
1.293781,10.0,1.339,8.451,True,None,FB0000021D000002
1.346300,10.0,1.699,7.183,True,None,FB0000021D000002
1.398445,10.0,1.8,2.028,True,None,FB0000021D000002
1.452435,10.0,2.18,7.606,True,None,FB0000021D000002
1.506322,10.0,2.607,8.536,True,None,FB0000021D000002
1.560371,10.0,3.021,8.282,True,None,FB0000021D000002
1.613982,10.0,3.423,8.029,True,None,FB0000021D000002
1.667208,10.0,3.79,7.352,True,None,FB0000021D000002
1.721679,10.0,4.3100000000000005,4.057,True,None,FB0000021D000002
1.774872,10.0,4.424,2.282,True,None,FB0000021D000002
1.828138,10.0,4.449,0.507,True,None,FB0000021D000002
1.881468,10.0,4.462,0.254,True,None,FB0000021D000002
1.934732,10.0,4.458,-0.085,True,None,FB0000021D000002
1.987755,10.0,4.458,0.0,True,None,FB0000021D000002
2.041473,10.0,4.454,-0.084,True,None,FB0000021D000002
2.094244,10.0,4.462,0.169,True,None,FB0000021D000002
2.146485,10.0,4.454,-0.169,True,None,FB0000021D000002
2.200182,10.0,4.462,0.169,True,None,FB0000021D000002
2.253236,10.0,4.454,-0.169,True,None,FB0000021D000002
2.307216,10.0,4.458,0.084,True,None,FB0000021D000002
2.360216,10.0,4.458,0.0,True,None,FB0000021D000002
2.414036,10.0,4.466,0.169,True,None,FB0000021D000002
2.467033,10.0,4.462,-0.084,True,None,FB0000021D000002
