t_s,target_deg_s,velocity_deg_s,diag
0.20342420900124125,0,,
0.25596959000176867,0,0.169,
0.3081017170006817,0,0.0,
0.36006829400139395,0,0.0,FB0000021D000000
0.4120037200009392,0,0.169,FB0000021D000000
0.4639538129995344,0,0.0,FB0000021D000000
0.515919577999739,0,0.0,FB0000021D000000
0.5679141340006026,0,0.253,FB0000021D000000
0.6199235050007701,0,-0.169,FB0000021D000000
0.6717147470008058,0,0.169,FB0000021D000000
0.7272620539988566,30,-0.169,FB0000021D000000
0.8314340930010076,30,0.0,FB0000021D000000
0.8832135129996459,30,0.0,FB0000021D000000
0.9353500600009284,30,0.0,FB0000021D000000
0.9870490880020952,30,0.0,FB0000021D000000
1.03889504000108,30,0.0,FB0000021D000000
1.0924316630007525,30,0.0,FB0000021D000000
1.1964396859984845,30,0.0,FB0000021D000000
1.3002894179990108,30,0.0,FB0000021D000000
1.3523462199991627,30,0.0,FB0000021D000000
1.4044727079999575,30,0.0,FB0000021D000000
1.4563370989999385,30,0.0,FB0000021D000000
1.5084450469985313,30,0.0,FB0000021D000000
1.5606049039997743,30,0.0,FB0000021D000000
1.612576239000191,30,0.0,FB0000021D000000
1.6644345329987118,30,0.0,FB0000021D000000
1.7163078320008935,30,0.0,FB0000021D000000
1.7681179579994932,30,0.0,FB0000021D000000
1.8202362350020849,30,0.0,FB0000021D000000
1.872162464998837,30,0.0,FB0000021D000002
1.9244396559988672,30,-0.085,FB0000021D000002
1.9761998840003798,30,-1.099,FB0000021D000002
2.028273743999307,30,-14.113,FB0000021D000002
2.0802195420001226,30,-14.113,FB0000021D000002
2.1321333199994115,30,-52.903,FB0000021D000002
2.1841780040012964,30,-17.747,FB0000021D000002
2.2363349279985414,30,-1.859,FB0000021D000002
2.288271869001619,30,0.0,FB0000021D000002
2.340187607002008,30,-0.254,FB0000021D000002
2.392341088001558,30,0.0,FB0000021D000002
2.444134490000579,30,0.0,FB0000021D000002
2.496136882000428,30,-0.085,FB0000021D000002
2.5479333930015855,30,0.0,FB0000021D000002
2.60005247600202,30,-0.084,FB0000021D000002
2.652236854999501,30,-0.084,FB0000021D000002
2.703976942000736,30,-0.169,FB0000021D000002
2.7565343610003765,30,-0.169,FB0000021D000002
2.808475506000832,30,0.0,FB0000021D000002
2.860448161001841,30,-0.169,FB0000021D000002
2.9122556110014557,30,0.0,FB0000021D000002
2.9638354250018892,30,0.084,FB0000021D000002
3.015642171998479,30,0.084,FB0000021D000002
3.068980897998699,30,-0.254,FB0000021D000002
3.120819208001194,30,0.0,FB0000021D000002
3.1724920730011945,30,0.0,FB0000021D000002
3.224245527999301,30,0.0,FB0000021D000002
3.277371069001674,30,0.0,FB0000021D000002
3.329301811001642,30,0.0,FB0000021D000002
3.381612215001951,30,0.338,FB0000021D000002
3.4352719740018074,30,0.0,FB0000021D000002
3.4878881000004185,30,-0.169,FB0000021D000002
3.5405404980010644,30,0.084,FB0000021D000002
3.5930725399994117,30,-0.169,FB0000021D000002
3.6455244079988915,30,0.169,FB0000021D000002
3.6975337129988475,30,0.0,FB0000021D000002
3.7496200060013507,30,-0.169,FB0000021D000002
3.801817657000356,30,-0.169,FB0000021D000002
3.853777437001554,30,-0.169,FB0000021D000002
3.9059514090004086,30,-0.254,FB0000021D000002
3.9577299679986027,30,-0.254,FB0000021D000002
4.010245132998534,30,0.169,FB0000021D000002
4.062718535999011,30,-0.338,FB0000021D000002
4.1148042530003295,30,-0.338,FB0000021D000002
4.166917430000467,30,0.0,FB0000021D000002
4.218734433001373,30,-0.169,FB0000021D000002
4.270519587000308,0,-0.169,FB0000021D000002
4.322387438001897,0,0.169,FB0000021D000002
4.374390247001429,0,-0.085,FB0000021D000002
4.426171470000554,0,0.169,FB0000021D000002
4.477768856999319,0,0.0,FB0000021D000002
4.529760601999442,0,0.0,FB0000021D000002
4.5819344890005596,0,-0.084,FB0000021D000002
4.633771051001531,0,0.0,FB0000021D000002
4.685921633001271,0,0.0,FB0000021D000002
4.737777718000871,0,0.0,FB0000021D000002
4.789692160000413,0,-0.084,FB0000021D000002
4.8415782090014545,0,-0.084,FB0000021D000002
