t_s,target_deg_s,velocity_deg_s,diag
6.162227315999189,-10.0,-0.084,FB0000021D000002
6.213889610000479,-10.0,0.0,FB0000021D000002
6.266046199998527,-10.0,-0.084,FB0000021D000002
6.318169840000337,-10.0,0.169,FB0000021D000002
6.370186070998898,-10.0,-0.254,FB0000021D000002
6.422185315997922,-10.0,0.338,FB0000021D000002
6.474466461000702,-10.0,-0.169,FB0000021D000002
6.526551972998277,-10.0,0.169,FB0000021D000002
6.580012059999717,-10.0,0.0,FB0000021D000002
6.632037931998639,-10.0,-0.169,FB0000021D000002
6.683821497997997,-10.0,0.169,FB0000021D000002
6.73582257399903,-10.0,0.169,FB0000021D000002
6.787819219000085,-10.0,0.0,FB0000021D000002
6.839718408999033,-10.0,0.338,FB0000021D000002
6.891630025998893,-10.0,-0.085,FB0000021D000002
6.9434865939983865,-10.0,0.0,FB0000021D000002
6.995359959997586,-10.0,-0.169,FB0000021D000002
7.047457845997997,-10.0,0.0,FB0000021D000002
7.099359260999336,-10.0,0.0,FB0000021D000002
7.151368288999947,-10.0,0.169,FB0000021D000002
7.203373955999268,-10.0,0.0,FB0000021D000002
7.255317810999259,-10.0,0.169,FB0000021D000002
7.307231538998167,-10.0,-0.169,FB0000021D000002
7.359456924998085,-10.0,0.085,FB0000021D000002
7.411405288999958,-10.0,0.084,FB0000021D000002
7.4635074629986775,-10.0,0.084,FB0000021D000002
7.515422962998855,-10.0,-0.084,FB0000021D000002
7.567772867998428,-10.0,-0.084,FB0000021D000002
7.619845991001057,-10.0,-0.084,FB0000021D000002
7.6718478340008005,-10.0,0.338,FB0000021D000002
7.7234599469993555,-10.0,-0.254,FB0000021D000002
7.775584776998585,-10.0,-0.084,FB0000021D000002
7.8290798509988235,-10.0,0.0,FB0000021D000002
7.881168838001031,-10.0,0.084,FB0000021D000002
7.933153892998234,-10.0,0.085,FB0000021D000002
7.9865675559995,-10.0,-0.169,FB0000021D000002
8.038636805998976,-10.0,0.0,FB0000021D000002
8.090502710998408,-10.0,0.084,FB0000021D000002
8.142310466999334,-10.0,0.084,FB0000021D000002
8.194491120000748,-10.0,-0.338,FB0000021D000002
8.246799468997779,-10.0,0.0,FB0000021D000002
8.298922810998192,0.0,0.0,FB0000021D000002
8.351173014998494,0.0,-0.254,FB0000021D000002
8.403369816998747,0.0,0.338,FB0000021D000002
8.455850340000325,0.0,0.338,FB0000021D000002
8.508316929001012,0.0,0.085,FB0000021D000002
8.560915656998986,0.0,0.0,FB0000021D000002
8.613260472000547,0.0,0.0,FB0000021D000002
8.665374121999776,0.0,0.084,FB0000021D000002
8.71746131799955,0.0,0.084,FB0000021D000002
8.769467067999358,0.0,0.169,FB0000021D000002
8.82306714600054,0.0,-0.084,FB0000021D000002
