t_s,target_deg_s,angle_deg,velocity_deg_s,armed,fault,diag_raw
0.018954,0.0,0.004,0.084,False,None,FB0000021D000000
0.072106,0.0,0.004,0.084,False,None,FB0000021D000000
0.124267,0.0,0.004,0.084,False,None,FB0000021D000000
0.177213,0.0,0.004,0.084,False,None,FB0000021D000000
0.229661,0.0,0.004,0.084,False,None,FB0000021D000000
0.282842,0.0,0.004,0.084,False,None,FB0000021D000000
0.335989,0.0,0.004,0.084,False,None,FB0000021D000000
0.389347,0.0,0.004,0.084,False,None,FB0000021D000000
0.442366,0.0,0.004,0.084,False,None,FB0000021D000000
0.495664,0.0,0.004,0.084,False,None,FB0000021D000000
0.550223,10.0,0.004,0.084,False,None,FB0000021D000000
0.602970,10.0,0.004,0.084,False,None,FB0000021D000000
0.655559,10.0,0.004,0.084,False,None,FB0000021D000000
0.708301,10.0,0.004,0.084,False,None,FB0000021D000000
0.761363,10.0,0.004,0.084,False,None,FB0000021D000000
0.814471,10.0,0.004,0.084,False,None,FB0000021D000000
0.867368,10.0,0.004,0.084,False,None,FB0000021D000000
0.920123,10.0,0.004,0.084,False,None,FB0000021D000000
0.973647,10.0,0.004,0.084,False,None,FB0000021D000000
1.026479,10.0,0.004,0.084,False,None,FB0000021D000000
1.079713,10.0,0.008,0.004,True,None,FB0000021D000002
1.132182,10.0,0.034,0.507,True,None,FB0000021D000002
1.184572,10.0,0.089,1.099,True,None,FB0000021D000002
1.235689,10.0,0.165,1.5210000000000001,True,None,FB0000021D000002
1.288889,10.0,0.232,1.352,True,None,FB0000021D000002
1.341700,10.0,0.317,1.69,True,None,FB0000021D000002
1.394705,10.0,0.41000000000000003,1.859,True,None,FB0000021D000002
1.447550,10.0,0.554,2.873,True,None,FB0000021D000002
1.499846,10.0,0.7010000000000001,2.958,True,None,FB0000021D000002
1.552933,10.0,0.845,2.873,True,None,FB0000021D000002
1.606045,10.0,1.01,3.2960000000000003,True,None,FB0000021D000002
1.659356,10.0,1.238,4.564,True,None,FB0000021D000002
1.716439,0.0,1.458,4.3950000000000005,True,None,FB0000021D000002
1.769886,0.0,1.817,3.0420000000000003,True,None,FB0000021D000002
1.823064,0.0,1.813,-0.084,True,None,FB0000021D000002
1.877225,0.0,1.813,0.0,True,None,FB0000021D000002
1.929891,0.0,1.817,0.084,True,None,FB0000021D000002
1.984015,0.0,1.817,0.0,True,None,FB0000021D000002
2.036267,0.0,1.8,-0.338,True,None,FB0000021D000002
2.090066,0.0,1.813,0.254,True,None,FB0000021D000002
2.143532,0.0,1.813,0.0,True,None,FB0000021D000002
2.197315,0.0,1.8,-0.254,True,None,FB0000021D000002
2.250098,0.0,1.804,0.084,True,None,FB0000021D000002
2.303693,0.0,1.804,0.0,True,None,FB0000021D000002
2.355868,0.0,1.809,0.085,True,None,FB0000021D000002
2.412927,-10.0,1.809,0.0,True,None,FB0000021D000002
2.465442,-10.0,1.804,-0.085,True,None,FB0000021D000002
2.517883,-10.0,1.707,-2.028,True,None,FB0000021D000002
2.570359,-10.0,1.5210000000000001,-3.718,True,None,FB0000021D000002
2.622614,-10.0,1.335,-3.718,True,None,FB0000021D000002
2.676094,-10.0,1.187,-2.958,True,None,FB0000021D000002
2.728511,-10.0,1.014,-3.465,True,None,FB0000021D000002
2.781568,-10.0,0.8320000000000001,-3.634,True,None,FB0000021D000002
2.835007,-10.0,0.663,-3.38,True,None,FB0000021D000002
2.888709,-10.0,0.532,-2.62,True,None,FB0000021D000002
2.942727,-10.0,0.418,-2.282,True,None,FB0000021D000002
2.997095,-10.0,0.317,-2.028,True,None,FB0000021D000002
3.050435,-10.0,0.215,-2.028,True,None,FB0000021D000002
3.104134,-10.0,0.135,-1.606,True,None,FB0000021D000002
3.157378,-10.0,0.076,-1.183,True,None,FB0000021D000002
3.211110,-10.0,0.034,-0.845,True,None,FB0000021D000002
3.264422,-10.0,0.008,-0.507,True,None,FB0000021D000002
3.317582,-10.0,-0.008,-0.338,True,None,FB0000021D000002
3.371557,-10.0,-0.021,-0.254,True,None,FB0000021D000002
3.424872,-10.0,-0.038,-0.338,True,None,FB0000021D000002
3.477939,-10.0,-0.038,0.0,True,None,FB0000021D000002
3.530350,-10.0,-0.034,0.085,True,None,FB0000021D000002
3.584141,-10.0,-0.042,-0.169,True,None,FB0000021D000002
3.641180,0.0,-0.042,0.0,True,None,FB0000021D000002
3.694535,0.0,-0.046,-0.084,True,None,FB0000021D000002
3.748372,0.0,-0.042,0.084,True,None,FB0000021D000002
3.801607,0.0,-0.03,0.254,True,None,FB0000021D000002
3.853767,0.0,-0.017,0.254,True,None,FB0000021D000002
3.906096,0.0,-0.013000000000000001,0.084,True,None,FB0000021D000002
3.960110,0.0,-0.025,-0.254,True,None,FB0000021D000002
4.013738,0.0,-0.021,0.084,True,None,FB0000021D000002
4.066401,0.0,-0.021,0.0,True,None,FB0000021D000002
4.119912,0.0,-0.017,0.254,True,None,FB0000021D000002
4.173854,0.0,-0.025,-0.169,True,None,FB0000021D000002
4.229370,0.0,-0.017,0.169,True,None,FB0000021D000002
